period,team,opponent,is_home,cats_won,cats_lost,cats_tied,team_AVG,team_R,team_HR,team_RBI,team_SB,team_K,team_W,team_SV,team_HLD,team_ERA,team_WHIP,opp_AVG,opp_R,opp_HR,opp_RBI,opp_SB,opp_K,opp_W,opp_SV,opp_HLD,opp_ERA,opp_WHIP
2,The Fellowship of the Skenes,EL TORNADO,1,4,5,2,0.26767677,29.0,7.0,31.0,8.0,44.0,2.0,2.0,3.0,4.73376623,1.48051948,0.28571429,29.0,6.0,32.0,5.0,43.0,3.0,2.0,0.0,3.02097902,1.02797203
2,EL TORNADO,The Fellowship of the Skenes,0,5,4,2,0.28571429,29.0,6.0,32.0,5.0,43.0,3.0,2.0,0.0,3.02097902,1.02797203,0.26767677,29.0,7.0,31.0,8.0,44.0,2.0,2.0,3.0,4.73376623,1.48051948
2,Sh'Dynasty,Southside Hitmen,1,6,4,1,0.24229075,44.0,14.0,27.0,9.0,66.0,5.0,2.0,0.0,4.2804878,1.29878049,0.17525773,13.0,3.0,19.0,8.0,75.0,5.0,1.0,4.0,3.03061224,0.97959184
2,Southside Hitmen,Sh'Dynasty,0,4,6,1,0.17525773,13.0,3.0,19.0,8.0,75.0,5.0,1.0,4.0,3.03061224,0.97959184,0.24229075,44.0,14.0,27.0,9.0,66.0,5.0,2.0,0.0,4.2804878,1.29878049
2,Bay County Buccaneers,Brian's Optimum Team,1,6,4,1,0.24434389,28.0,6.0,27.0,2.0,30.0,4.0,3.0,0.0,3.64864865,1.41891892,0.26666667,25.0,8.0,21.0,3.0,37.0,0.0,1.0,0.0,5.48780488,1.85365854
2,Brian's Optimum Team,Bay County Buccaneers,0,4,6,1,0.26666667,25.0,8.0,21.0,3.0,37.0,0.0,1.0,0.0,5.48780488,1.85365854,0.24434389,28.0,6.0,27.0,2.0,30.0,4.0,3.0,0.0,3.64864865,1.41891892
2,Ellz Bellz,Pete's Perfect Team,1,6,3,2,0.26960784,27.0,8.0,28.0,16.0,53.0,1.0,1.0,0.0,3.15,1.05,0.24571429,25.0,5.0,23.0,8.0,28.0,3.0,1.0,0.0,2.80519481,0.81818182
2,Pete's Perfect Team,Ellz Bellz,0,3,6,2,0.24571429,25.0,5.0,23.0,8.0,28.0,3.0,1.0,0.0,2.80519481,0.81818182,0.26960784,27.0,8.0,28.0,16.0,53.0,1.0,1.0,0.0,3.15,1.05
2,Captain Phillips,Antonio's Astounding Team,1,9,2,0,0.27604167,30.0,5.0,32.0,5.0,33.0,5.0,2.0,0.0,2.67768595,1.11570248,0.26237624,28.0,6.0,27.0,4.0,28.0,2.0,0.0,1.0,6.6741573,1.38202247
2,Antonio's Astounding Team,Captain Phillips,0,2,9,0,0.26237624,28.0,6.0,27.0,4.0,28.0,2.0,0.0,1.0,6.6741573,1.38202247,0.27604167,30.0,5.0,32.0,5.0,33.0,5.0,2.0,0.0,2.67768595,1.11570248
3,Sh'Dynasty,The Fellowship of the Skenes,1,5,6,0,0.23333333,36.0,16.0,35.0,8.0,47.0,2.0,4.0,0.0,2.00675676,1.21621622,0.24774775,44.0,14.0,29.0,7.0,54.0,6.0,3.0,2.0,2.06557377,0.8852459
3,The Fellowship of the Skenes,Sh'Dynasty,0,6,5,0,0.24774775,44.0,14.0,29.0,7.0,54.0,6.0,3.0,2.0,2.06557377,0.8852459,0.23333333,36.0,16.0,35.0,8.0,47.0,2.0,4.0,0.0,2.00675676,1.21621622
3,EL TORNADO,Bay County Buccaneers,1,9,2,0,0.28140704,29.0,9.0,39.0,5.0,43.0,4.0,5.0,0.0,2.8125,1.0625,0.25,41.0,8.0,25.0,2.0,33.0,2.0,4.0,2.0,6.75,1.70454545
3,Bay County Buccaneers,EL TORNADO,0,2,9,0,0.25,41.0,8.0,25.0,2.0,33.0,2.0,4.0,2.0,6.75,1.70454545,0.28140704,29.0,9.0,39.0,5.0,43.0,4.0,5.0,0.0,2.8125,1.0625
3,Southside Hitmen,Ellz Bellz,1,3,7,1,0.19251337,23.0,5.0,18.0,3.0,74.0,4.0,4.0,1.0,5.85221675,1.46305419,0.28270042,42.0,10.0,37.0,8.0,55.0,4.0,0.0,0.0,5.4,1.43571429
3,Ellz Bellz,Southside Hitmen,0,7,3,1,0.28270042,42.0,10.0,37.0,8.0,55.0,4.0,0.0,0.0,5.4,1.43571429,0.19251337,23.0,5.0,18.0,3.0,74.0,4.0,4.0,1.0,5.85221675,1.46305419
3,Brian's Optimum Team,Captain Phillips,1,9,2,0,0.28959276,41.0,13.0,37.0,2.0,54.0,3.0,1.0,0.0,1.28571429,1.20408163,0.26442308,25.0,6.0,24.0,4.0,37.0,2.0,0.0,3.0,4.43283582,1.23134328
3,Captain Phillips,Brian's Optimum Team,0,2,9,0,0.26442308,25.0,6.0,24.0,4.0,37.0,2.0,0.0,3.0,4.43283582,1.23134328,0.28959276,41.0,13.0,37.0,2.0,54.0,3.0,1.0,0.0,1.28571429,1.20408163
3,Pete's Perfect Team,Antonio's Astounding Team,1,2,8,1,0.26785714,20.0,0.0,16.0,3.0,23.0,0.0,3.0,0.0,6.75,1.36764706,0.23414634,34.0,9.0,24.0,3.0,38.0,4.0,2.0,3.0,3.7016129,1.23387097
3,Antonio's Astounding Team,Pete's Perfect Team,0,8,2,1,0.23414634,34.0,9.0,24.0,3.0,38.0,4.0,2.0,3.0,3.7016129,1.23387097,0.26785714,20.0,0.0,16.0,3.0,23.0,0.0,3.0,0.0,6.75,1.36764706
4,The Fellowship of the Skenes,Bay County Buccaneers,1,5,6,0,0.24886878,37.0,14.0,31.0,7.0,43.0,4.0,1.0,0.0,4.37837838,1.07432432,0.30263158,40.0,12.0,36.0,6.0,26.0,2.0,4.0,5.0,2.57142857,1.17857143
4,Bay County Buccaneers,The Fellowship of the Skenes,0,6,5,0,0.30263158,40.0,12.0,36.0,6.0,26.0,2.0,4.0,5.0,2.57142857,1.17857143,0.24886878,37.0,14.0,31.0,7.0,43.0,4.0,1.0,0.0,4.37837838,1.07432432
4,Ellz Bellz,Sh'Dynasty,1,4,6,1,0.23628692,26.0,11.0,40.0,5.0,50.0,3.0,1.0,1.0,5.19875776,1.32298137,0.26923077,29.0,10.0,28.0,13.0,52.0,3.0,2.0,0.0,3.85714286,1.46616541
4,Sh'Dynasty,Ellz Bellz,0,6,4,1,0.26923077,29.0,10.0,28.0,13.0,52.0,3.0,2.0,0.0,3.85714286,1.46616541,0.23628692,26.0,11.0,40.0,5.0,50.0,3.0,1.0,1.0,5.19875776,1.32298137
4,Captain Phillips,EL TORNADO,1,8,2,1,0.26582278,38.0,9.0,27.0,2.0,45.0,2.0,0.0,1.0,3.15789474,0.98245614,0.22167488,27.0,6.0,25.0,3.0,27.0,1.0,0.0,0.0,2.79310345,1.24137931
4,EL TORNADO,Captain Phillips,0,2,8,1,0.22167488,27.0,6.0,25.0,3.0,27.0,1.0,0.0,0.0,2.79310345,1.24137931,0.26582278,38.0,9.0,27.0,2.0,45.0,2.0,0.0,1.0,3.15789474,0.98245614
4,Antonio's Astounding Team,Southside Hitmen,1,8,2,1,0.24074074,40.0,11.0,30.0,5.0,23.0,0.0,2.0,2.0,2.88,1.4,0.235,30.0,6.0,24.0,4.0,54.0,4.0,2.0,1.0,5.10810811,1.55675676
4,Southside Hitmen,Antonio's Astounding Team,0,2,8,1,0.235,30.0,6.0,24.0,4.0,54.0,4.0,2.0,1.0,5.10810811,1.55675676,0.24074074,40.0,11.0,30.0,5.0,23.0,0.0,2.0,2.0,2.88,1.4
4,Pete's Perfect Team,Brian's Optimum Team,1,2,5,4,0.26618705,17.0,4.0,16.0,6.0,31.0,1.0,1.0,0.0,3.69863014,1.2739726,0.25365854,26.0,6.0,23.0,6.0,39.0,1.0,1.0,0.0,3.02803738,1.42990654
4,Brian's Optimum Team,Pete's Perfect Team,0,5,2,4,0.25365854,26.0,6.0,23.0,6.0,39.0,1.0,1.0,0.0,3.02803738,1.42990654,0.26618705,17.0,4.0,16.0,6.0,31.0,1.0,1.0,0.0,3.69863014,1.2739726
5,Ellz Bellz,The Fellowship of the Skenes,1,6,5,0,0.22966507,34.0,7.0,24.0,6.0,53.0,3.0,1.0,0.0,2.95890411,1.0890411,0.28795812,28.0,8.0,22.0,4.0,72.0,2.0,3.0,1.0,4.32596685,1.22651934
5,The Fellowship of the Skenes,Ellz Bellz,0,5,6,0,0.28795812,28.0,8.0,22.0,4.0,72.0,2.0,3.0,1.0,4.32596685,1.22651934,0.22966507,34.0,7.0,24.0,6.0,53.0,3.0,1.0,0.0,2.95890411,1.0890411
5,Bay County Buccaneers,Captain Phillips,1,3,6,2,0.26368159,25.0,7.0,23.0,2.0,15.0,0.0,3.0,2.0,2.57142857,0.92857143,0.33168317,38.0,9.0,30.0,2.0,48.0,2.0,0.0,2.0,3.85714286,1.53781513
5,Captain Phillips,Bay County Buccaneers,0,6,3,2,0.33168317,38.0,9.0,30.0,2.0,48.0,2.0,0.0,2.0,3.85714286,1.53781513,0.26368159,25.0,7.0,23.0,2.0,15.0,0.0,3.0,2.0,2.57142857,0.92857143
5,Sh'Dynasty,Antonio's Astounding Team,1,8,1,2,0.27586207,38.0,15.0,43.0,8.0,43.0,2.0,4.0,0.0,2.40594059,0.89108911,0.24736842,27.0,7.0,32.0,3.0,43.0,2.0,1.0,1.0,2.86725664,1.19469027
5,Antonio's Astounding Team,Sh'Dynasty,0,1,8,2,0.24736842,27.0,7.0,32.0,3.0,43.0,2.0,1.0,1.0,2.86725664,1.19469027,0.27586207,38.0,15.0,43.0,8.0,43.0,2.0,4.0,0.0,2.40594059,0.89108911
5,EL TORNADO,Pete's Perfect Team,1,8,0,3,0.24175824,27.0,7.0,20.0,5.0,26.0,0.0,0.0,0.0,4.32,1.36,0.23448276,16.0,3.0,13.0,4.0,13.0,0.0,0.0,0.0,6.09677419,1.64516129
5,Pete's Perfect Team,EL TORNADO,0,0,8,3,0.23448276,16.0,3.0,13.0,4.0,13.0,0.0,0.0,0.0,6.09677419,1.64516129,0.24175824,27.0,7.0,20.0,5.0,26.0,0.0,0.0,0.0,4.32,1.36
5,Southside Hitmen,Brian's Optimum Team,1,7,3,1,0.26315789,34.0,11.0,30.0,1.0,56.0,4.0,2.0,2.0,2.1849711,1.33526012,0.3442623,33.0,9.0,34.0,4.0,48.0,2.0,2.0,0.0,5.4,1.40689655
5,Brian's Optimum Team,Southside Hitmen,0,3,7,1,0.3442623,33.0,9.0,34.0,4.0,48.0,2.0,2.0,0.0,5.4,1.40689655,0.26315789,34.0,11.0,30.0,1.0,56.0,4.0,2.0,2.0,2.1849711,1.33526012
